ufn,spp,date,site.id,survey.id,seine.id,weight,length.lab,length.field,licing.protocol,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments
U2845,PI,15/06/16,J02,JE180,JN280,9.9,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2846,PI,15/06/16,J02,JE180,JN280,11.1,104,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1288,SO,15/06/16,J02,JE180,JN280,22,117,NA,lab_finescale,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1311,SO,15/06/16,J02,JE180,JN280,17.9,113,NA,lab_finescale,0,0,NA,0,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1270,SO,15/06/16,J02,JE180,JN280,18.4,110,NA,lab_finescale,0,0,NA,1,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U1302,SO,15/06/16,J02,JE180,JN280,22.5,120,NA,lab_finescale,1,0,NA,3,4,NA,2,0,0,0,2,0,0,0,0,0,0,0,NA
U1292,SO,15/06/16,J02,JE180,JN280,19.8,116,NA,lab_finescale,1,0,NA,6,2,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA
U1301,SO,15/06/16,J02,JE180,JN280,17.2,116,NA,lab_finescale,1,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2910,CU,15/06/16,J09,JE181,JN281,24.3,137,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2911,CU,15/06/16,J09,JE181,JN281,19.5,131,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2915,CU,15/06/16,J09,JE181,JN281,14.7,113,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3002,CU,15/06/16,J09,JE181,JN281,21.6,129,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0,0,0,0,0,NA
U3004,CU,15/06/16,J09,JE181,JN281,20,124,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2521,PI,15/06/16,J09,JE181,JN281,24.1,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA
U2522,PI,15/06/16,J09,JE181,JN281,17.4,120,NA,lab_motiles,NA,NA,NA,NA,NA,NA,1,0,1,0,2,0,0,0,0,0,0,0,NA
U2642,PI,15/06/16,J09,JE181,JN281,17.3,126,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA
