ufn,spp,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol,weight,length.lab,length.field
U295,SO,2015-05-16,D07,DE107,DN207,0,0,NA,4,3,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,11,101,NA
U294,SO,2015-05-16,D07,DE107,DN207,1,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.8,103,NA
U293,SO,2015-05-16,D07,DE107,DN207,0,0,NA,5,0,NA,1,0,1,0,2,0,0,0,0,0,0,0,NA,lab_finescale,10.8,95,NA
U301,SO,2015-05-16,D07,DE107,DN207,1,0,NA,2,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,16,116,NA
U303,SO,2015-05-16,D07,DE107,DN207,0,0,NA,3,2,NA,1,1,0,0,2,0,0,0,0,0,0,0,NA,lab_finescale,9.3,94,NA
U311,SO,2015-05-16,D07,DE107,DN207,0,0,NA,5,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.7,104,NA
U313,SO,2015-05-16,D07,DE107,DN207,1,0,NA,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.6,99,NA
U522,SO,2015-05-17,D02,DE108,DN208,0,0,NA,1,1,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,7.9,88,NA
U510,SO,2015-05-17,D02,DE108,DN208,0,0,NA,3,6,NA,0,1,0,0,1,1,0,0,0,0,0,0,NA,lab_finescale,11.1,95,NA
U520,SO,2015-05-17,D02,DE108,DN208,0,0,NA,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,5.9,82,NA
U460,SO,2015-05-17,D02,DE108,DN208,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.1,96,NA
U531,SO,2015-05-17,D02,DE108,DN208,1,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.7,91,NA
U541,SO,2015-05-17,D02,DE108,DN208,1,0,NA,6,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,5.8,79,NA
U521,SO,2015-05-17,D02,DE108,DN208,0,0,NA,3,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.2,86,NA
U542,SO,2015-05-17,D02,DE108,DN208,0,0,NA,6,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.1,93,NA
U457,SO,2015-05-18,D03,DE109,DN209,1,0,NA,8,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12.8,106,NA
U516,SO,2015-05-18,D03,DE109,DN209,2,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.5,96,NA
U507,SO,2015-05-18,D03,DE109,DN209,1,0,NA,6,3,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,9.1,96,NA
U519,SO,2015-05-18,D03,DE109,DN209,0,0,NA,4,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,11,102,NA
U518,SO,2015-05-18,D03,DE109,DN209,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,12,107,NA
U508,SO,2015-05-18,D03,DE109,DN209,2,0,NA,6,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.3,100,NA
U459,SO,2015-05-18,D03,DE109,DN209,2,0,NA,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,7.4,88,NA
U458,SO,2015-05-18,D03,DE109,DN209,3,0,NA,8,5,NA,0,0,0,0,0,1,0,0,0,0,0,0,NA,lab_finescale,10.8,102,NA
U517,SO,2015-05-18,D03,DE109,DN209,0,0,NA,0,2,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,7.3,84,NA
U509,SO,2015-05-18,D03,DE109,DN209,2,0,NA,4,4,NA,1,0,0,1,2,0,0,0,0,0,0,0,Cal mot UNID missing posterior end,lab_finescale,14.1,109,NA
U368,SO,2015-05-18,D05,DE110,DN210,2,0,NA,6,4,NA,2,1,0,0,3,0,0,0,0,0,0,0,NA,lab_finescale,9.1,94,NA
U369,SO,2015-05-18,D05,DE110,DN210,1,0,NA,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.4,100,NA
U383,SO,2015-05-18,D05,DE110,DN210,0,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,NA,97,NA
U370,SO,2015-05-18,D05,DE110,DN210,0,0,NA,2,2,NA,2,0,0,0,2,0,0,0,0,0,0,0,NA,lab_finescale,12.1,97,NA
U382,SO,2015-05-18,D05,DE110,DN210,1,0,NA,2,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,10.4,102,NA
U381,SO,2015-05-18,D05,DE110,DN210,0,0,NA,4,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,6.7,86,NA
U4171,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,16.5,118,NA
U4172,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,16.4,120,NA
U4972,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,12.9,107,NA
