seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_comments
DN102B,DE462,2,targeted,NA,17:15:00,50.308201,-125.327355,NA,NA,NA,Yes,4,9,0,0,0,545,0,0,0,0,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN103A,DE463,1,targeted,NA,19:20:00,50.308112,-125.326899,1,0,1,Yes,1,1,5,5,10,1300,0,0,0,5,0,1,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN103B,DE463,2,targeted,NA,20:25:00,50.308112,-125.326899,NA,NA,NA,No,0,0,0,0,0,169,0,0,0,5,0,0,NA,SJUBC,Sam James' UBC diet study (24-hour)
DN103C,DE463,3,targeted,NA,20:52:00,50.299822,-125.3415,NA,NA,NA,Yes,3,3,5,15,0,842,0,0,0,5,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN104A,DE464,1,targeted,NA,22:25:00,50.300978,-125.341211,1,0,1,Yes,5,5,4,4,7,170,0,0,0,0,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
DN104B,DE464,2,targeted,NA,23:20:00,50.300978,-125.341211,0,0,1,Yes,0,0,0,0,3,23,0,0,0,0,0,0,1,SJUBC,Sam James' UBC diet study (24-hour). Fish batch euthanized in MS222.
JN200,JE100,1,targeted,30,07:10:00,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN201,JE101,1,targeted,10,09:50:00,50.50535,-126.24163,NA,NA,NA,Yes,30,300,1,1,10,20,6,6,4,4,NA,NA,0,SEMSP,fish not labelled in order
JN202,JE102,2,targeted,10,06:20:00,50.47479,-126.03259,NA,NA,NA,Yes,30,100,0,0,10,30,3,3,0,0,NA,NA,0,SEMSP,NA
JE102N1,JE102,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN203,JE103,2,targeted,90,13:40:00,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JE103N1,JE103,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN204,JE104,1,targeted,1,06:40:00,50.45614,-126.11933,NA,NA,NA,Yes,30,600,0,0,1,1,4,4,0,0,NA,NA,0,SEMSP,NA
JN205,JE105,2,targeted,3,09:40:00,50.48078,-126.41037,NA,NA,NA,Yes,30,150,0,0,3,3,10,150,0,0,NA,NA,0,SEMSP,NA
